"StevensPoint","Stevens Point"
"StevensPt","Stevens Point"
"ParkRidge","Park Ridge"
"SunPrairie","Sun Prairie"
"VillageofWindsor",Windsor
"COTTAGEGROVE","Cottage Grove"
"CottageGrove","Cottage Grove"
"VillageofDeerfield",Deerfield
"WAUNAKEE",Waunakee
"DEFOREST","Deforest"
"WestAllis","West Allis"
"WestMilwaukee","West Milwaukee"
"HalesCorners","Hales Corners"
